Stock Invested in,Sector,Sector Total,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName,Fund Name,Fund Id,MF ACF,MF Type
HDFC Bank Ltd.,Private sector bank,12.52,14736.3,5.50%,0.10%,6.71% (Oct 2023),3.28% (May 2023),1.05 Cr,10.00 L,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
EIH Ltd,Hotels & resorts,6.89,10768.7,4.02%,0.46%,4.02% (Feb 2024),2.78% (Jul 2023),2.67 Cr,-0.13 Cr,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
ICICI Bank Ltd.,Private sector bank,12.52,10205.6,3.81%,-0.07%,4.28% (Mar 2023),2.85% (Aug 2023),96.99 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Linde India Ltd.,Industrial gases,3.29,8820.4,3.29%,-0.27%,5.26% (Aug 2023),3.29% (Feb 2024),16.38 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Axis Bank Ltd.,Private sector bank,12.52,8600.9,3.21%,-0.11%,3.59% (Dec 2023),2.82% (Oct 2023),80.00 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Reliance Industries Ltd.,Refineries & marketing,2.94,7888.3,2.94%,0.72%,3.53% (Apr 2023),1.79% (Sep 2023),27.00 L,7.00 L,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
State Bank Of India,Public sector bank,3.55,7481,2.79%,0.60%,3.07% (Apr 2023),2.19% (Jan 2024),1.00 Cr,12.00 L,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Indian Hotels Company Limited,Hotels & resorts,6.89,7040.4,2.63%,0.33%,3.39% (Mar 2023),2.14% (Dec 2023),1.20 Cr,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Max Financial Services Ltd.,Life insurance,2.53,6787.9,2.53%,0.59%,2.53% (Feb 2024),1.33% (Mar 2023),70.00 L,14.00 L,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Larsen & Toubro Ltd.,Civil construction,2.61,6608.4,2.47%,-0.10%,3.13% (Apr 2023),2.06% (Nov 2023),19.00 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
HDFC Asset Management Co. Ltd.,Asset management company,3.1,6382.9,2.38%,-0.41%,2.79% (Jan 2024),0.48% (Mar 2023),17.01 L,-3.00 L,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
National Thermal Power Corporation Ltd.,Power generation,2.32,6208.6,2.32%,0.04%,2.35% (Sep 2023),0% (Mar 2023),1.85 Cr,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Tata Power Co. Ltd.,Integrated power utilities,2.5,6059.5,2.26%,-0.21%,2.47% (Jan 2024),0% (Mar 2023),1.63 Cr,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
GE T&D India Ltd.,Heavy electrical equipment,6.56,6033.4,2.25%,0.50%,2.25% (Feb 2024),0.57% (Mar 2023),66.20 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Vesuvius India Ltd.,Electrodes & refractories,1.96,5266.1,1.96%,-0.28%,3.2% (Jul 2023),1.85% (Apr 2023),16.22 L,-4.51 k,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Bajaj Finance Ltd.,Non banking financial company (nbfc),3.75,5201.7,1.94%,0.64%,1.94% (Feb 2024),0.98% (Mar 2023),8.01 L,3.14 L,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
HCL Technologies Limited,Computers - software & consulting,3.11,4658.8,1.74%,0.02%,2.12% (Mar 2023),1.63% (Aug 2023),28.00 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
PVR Inox Ltd.,"Film production, distribution & exhibition",1.69,4526.8,1.69%,-0.12%,2.22% (Sep 2023),0.32% (Mar 2023),33.02 L,1.00 L,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Kennametal India Ltd.,Industrial products,2.38,4524.7,1.69%,-0.22%,3.07% (Jun 2023),1.69% (Feb 2024),19.55 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
ITC Limited,Diversified fmcg,1.67,4469.3,1.67%,-0.22%,1.92% (Nov 2023),0.98% (Jul 2023),1.10 Cr,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Infosys Ltd.,Computers - software & consulting,3.11,3683.4,1.37%,-0.05%,2.19% (Mar 2023),1.37% (Feb 2024),22.01 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Voltas Limited,Household appliances,2.48,3592.3,1.34%,-0.04%,1.38% (Jan 2024),0.61% (Jun 2023),32.39 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Zomato Ltd.,E-retail/ e-commerce,1.53,3479.5,1.30%,0.29%,1.3% (Feb 2024),0.43% (Mar 2023),2.10 Cr,25.00 L,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Shoppers Stop Limited,Diversified retail,1.25,3339,1.25%,-0.07%,2.21% (May 2023),1.25% (Feb 2024),45.02 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Motherson Sumi Systems Ltd.,Auto components & equipments,5.33,3236.3,1.21%,0.01%,1.21% (Feb 2024),0.81% (Nov 2023),2.72 Cr,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Trent Limited,Speciality retail,2.4,2717.3,1.01%,0.05%,1.23% (Nov 2023),0.96% (Jan 2024),7.00 L,-1.00 L,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Bosch Ltd.,Auto components & equipments,5.33,2625.5,0.98%,0.14%,0.98% (Feb 2024),0% (Mar 2023),91.83 k,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Aditya Birla Fashion and Retail Ltd.,Speciality retail,2.4,2535,0.95%,-0.29%,1.54% (Jul 2023),0.87% (May 2023),1.13 Cr,-0.18 Cr,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
SBI Cards and Payment Services Ltd.,Non banking financial company (nbfc),3.75,2519.3,0.94%,-0.03%,1.98% (May 2023),0.94% (Feb 2024),35.01 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Gland Pharma Ltd.,Pharmaceuticals,6.1,2501.4,0.93%,-0.15%,1.22% (Aug 2023),0.81% (May 2023),14.16 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,6.1,2419.4,0.90%,0.05%,1.05% (Mar 2023),0.79% (Dec 2023),15.33 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Tata Motors Ltd.,Passenger cars & utility vehicles,1.61,2375.5,0.89%,0.03%,0.89% (Feb 2024),0.73% (Mar 2023),25.00 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Triveni Turbine Ltd.,Heavy electrical equipment,6.56,2317.3,0.86%,0.18%,1.63% (Mar 2023),0.68% (Jan 2024),46.51 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Rural Electrification Corporation Limited,Financial institution,1.47,2210.3,0.82%,-0.15%,0.97% (Jan 2024),0% (Mar 2023),50.00 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
CIE AUTOMOTIVE INDIA Ltd.,Auto components & equipments,5.33,2198.5,0.82%,-0.12%,1.15% (Sep 2023),0% (Mar 2023),49.86 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Canara Bank,Public sector bank,3.55,2032,0.76%,0.09%,0.83% (Oct 2023),0.61% (Jun 2023),36.00 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Mahindra & Mahindra Ltd.,Passenger cars & utility vehicles,1.61,1932.4,0.72%,-0.05%,1% (Jun 2023),0.72% (Feb 2024),10.00 L,-2.00 L,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
UTI Asset Management Co. Pvt. Ltd.,Asset management company,3.1,1926.8,0.72%,-0.06%,0.94% (Jun 2023),0% (Mar 2023),21.49 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Schneider Electric Infrastructure Ltd.,Heavy electrical equipment,6.56,1841.5,0.69%,0.16%,0.69% (Feb 2024),0.31% (Mar 2023),28.90 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Power Finance Corporation Ltd.,Financial institution,1.47,1753.1,0.65%,-0.10%,0.75% (Jan 2024),0.43% (Jun 2023),43.75 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Crompton Greaves Consumer Electricals Ltd.,Household appliances,2.48,1750.4,0.65%,-0.06%,1.09% (Mar 2023),0.65% (Feb 2024),60.15 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Container Corporation Of India Ltd.,Logistics solution provider,1.73,1750,0.65%,-0.11%,0.77% (Dec 2023),0% (Mar 2023),17.90 L,-4.00 L,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Medplus Health Services Ltd.,Pharmacy retail,0.65,1740.4,0.65%,-0.05%,1% (Aug 2023),0% (Mar 2023),25.00 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Vijaya Diagnostic Centre Ltd.,Healthcare service provider,0.65,1738.3,0.65%,-0.04%,0.86% (Oct 2023),0.61% (May 2023),26.97 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Amara Raja Batteries Limited,Auto components & equipments,5.33,1686.2,0.63%,-0.06%,0.69% (Jan 2024),0% (Mar 2023),20.10 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Bharti Airtel Ltd.,Telecom - cellular & fixed line services,0.63,1685,0.63%,-0.05%,0.68% (Jan 2024),0% (Mar 2023),15.00 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Pfizer Ltd.,Pharmaceuticals,6.1,1670.9,0.62%,0.01%,0.9% (Apr 2023),0.61% (Jan 2024),3.63 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
CreditAccess Grameen Ltd.,Microfinance institutions,0.61,1643.4,0.61%,-0.08%,1.15% (Jul 2023),0.61% (Feb 2024),11.18 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Sapphire Foods India Ltd.,Restaurants,1.05,1639.1,0.61%,-0.01%,0.98% (May 2023),0.61% (Feb 2024),10.91 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Shriram Finance Ltd.,Non banking financial company (nbfc),3.75,1635.2,0.61%,-0.03%,0.67% (Jul 2023),0% (Mar 2023),6.71 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Mahindra Logistics Ltd.,Logistics solution provider,1.73,1630.7,0.61%,-0.01%,0.95% (Mar 2023),0.61% (Nov 2023),38.40 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Zee Entertainment Enterprises Ltd.,Tv broadcasting & software production,0.6,1609.5,0.60%,-0.07%,2.39% (Sep 2023),0.6% (Feb 2024),1.00 Cr,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Exide Industries Ltd.,Auto components & equipments,5.33,1601.5,0.60%,-0.05%,0.66% (Aug 2023),0% (Mar 2023),50.00 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
"-
Info Edge (India) Ltd.",Internet & catalogue retail,0.59,1582.9,0.59%,0.00%,0.59% (Feb 2024),0% (Mar 2023),3.00 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Honeywell Automation India Ltd.,Industrial products,2.38,1546.3,0.58%,-0.03%,0.62% (Mar 2023),0.37% (Dec 2023),40.77 k,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Zydus Lifesciences Ltd.,Pharmaceuticals,6.1,1507,0.56%,0.09%,0.56% (Feb 2024),0.44% (Oct 2023),16.00 L,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
ABB India Ltd.,Heavy electrical equipment,6.56,1497.4,0.56%,0.06%,0.7% (Jun 2023),0.5% (Jan 2024),2.75 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,6.1,1483.5,0.55%,-0.07%,0.84% (Apr 2023),0.55% (Feb 2024),9.50 L,0.00,Other,15.27,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Varroc Engineering Ltd.,Auto components & equipments,5.33,1481.5,0.55%,-0.11%,0.72% (Nov 2023),0.44% (Mar 2023),30.39 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
KEC International Ltd.,Heavy electrical equipment,6.56,1474.3,0.55%,0.03%,0.55% (Feb 2024),0.46% (Oct 2023),20.29 L,0.00,Small Cap,21.7,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
3M India Ltd.,Diversified,0.55,1461.5,0.55%,-0.06%,0.8% (Mar 2023),0.55% (Feb 2024),45.70 k,0.00,Mid Cap,26.15,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
Lupin Ltd.,Pharmaceuticals,6.1,1458.9,0.54%,0.01%,0.54% (Feb 2024),0.34% (Mar 2023),9.00 L,0.00,Large Cap,36.11,nippon-india-multicap-fund-direct-plan-growth,MRC914,Equity,07_multi
